# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			429228	429228	429228			
N_multimapping			2399332	2399332	2399332			
N_noFeature			844462	9465056	7930400			
N_ambiguous			1426971	340306	381786			
ENSG00000000003.15	TSPAN6	protein_coding	3123	1394	1729	138.5136	47.0876	45.5683
ENSG00000000005.6	TNMD	protein_coding	45	14	31	6.1337	2.0851	2.0179
ENSG00000000419.13	DPM1	protein_coding	990	406	584	165.0143	56.0965	54.2865
ENSG00000000457.14	SCYL3	protein_coding	188	148	156	5.4951	1.8680	1.8078
ENSG00000000460.17	C1orf112	protein_coding	156	152	124	5.2571	1.7871	1.7295
ENSG00000000938.13	FGR	protein_coding	184	84	100	10.9456	3.7209	3.6009
ENSG00000000971.16	CFH	protein_coding	321	140	181	8.0927	2.7511	2.6624
ENSG00000001036.14	FUCA2	protein_coding	1346	822	969	95.9581	32.6209	31.5683
ENSG00000001084.13	GCLC	protein_coding	772	376	487	18.0221	6.1266	5.9289
ENSG00000001167.14	NFYA	protein_coding	497	212	310	26.2368	8.9192	8.6314
ENSG00000001460.18	STPG1	protein_coding	122	59	71	2.8839	0.9804	0.9487
ENSG00000001461.17	NIPAL3	protein_coding	568	255	321	12.1618	4.1344	4.0010
ENSG00000001497.18	LAS1L	protein_coding	944	385	564	15.1269	5.1424	4.9764
ENSG00000001561.7	ENPP4	protein_coding	512	228	284	22.1805	7.5402	7.2969
ENSG00000001617.12	SEMA3F	protein_coding	591	267	324	24.6373	8.3754	8.1052
ENSG00000001626.16	CFTR	protein_coding	561	275	286	11.3523	3.8592	3.7347
ENSG00000001629.10	ANKIB1	protein_coding	823	360	473	22.4082	7.6177	7.3719
ENSG00000001630.17	CYP51A1	protein_coding	110	61	50	6.2710	2.1318	2.0630
ENSG00000001631.16	KRIT1	protein_coding	97	46	61	3.1455	1.0693	1.0348
ENSG00000002016.18	RAD52	protein_coding	301	135	166	13.4480	4.5716	4.4241
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	0	0	1	0.0000	0.0000	0.0000
ENSG00000002330.14	BAD	protein_coding	303	310	329	35.6901	12.1328	11.7414
ENSG00000002549.12	LAP3	protein_coding	2442	1131	1311	129.7996	44.1253	42.7015
ENSG00000002586.20	CD99	protein_coding	5148	2334	2814	213.1938	72.4751	70.1366
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	204	95	110	5.5200	1.8765	1.8160
ENSG00000002726.21	AOC1	protein_coding	7433	3349	4084	394.9818	134.2738	129.9413
ENSG00000002745.13	WNT16	protein_coding	2	0	2	0.1233	0.0419	0.0406
ENSG00000002746.15	HECW1	protein_coding	31	18	16	0.4476	0.1521	0.1472
ENSG00000002822.15	MAD1L1	protein_coding	7	5	2	0.1948	0.0662	0.0641
ENSG00000002834.18	LASP1	protein_coding	4467	2292	2959	127.2751	43.2671	41.8710
ENSG00000002919.15	SNX11	protein_coding	328	136	192	15.9662	5.4277	5.2526
ENSG00000002933.9	TMEM176A	protein_coding	6188	2755	3480	358.0463	121.7176	117.7902
ENSG00000003056.8	M6PR	protein_coding	652	363	412	36.5891	12.4384	12.0371
ENSG00000003096.14	KLHL13	protein_coding	18	6	12	0.5186	0.1763	0.1706
ENSG00000003137.8	CYP26B1	protein_coding	10	3	7	0.4012	0.1364	0.1320
ENSG00000003147.19	ICA1	protein_coding	1476	681	931	60.8125	20.6732	20.0061
ENSG00000003249.15	DBNDD1	protein_coding	782	361	421	35.2591	11.9863	11.5995
ENSG00000003393.15	ALS2	protein_coding	383	160	223	7.3820	2.5095	2.4285
ENSG00000003400.15	CASP10	protein_coding	1339	589	750	35.5343	12.0799	11.6901
ENSG00000003402.20	CFLAR	protein_coding	1253	611	804	11.2142	3.8123	3.6892
ENSG00000003436.16	TFPI	protein_coding	245	138	127	4.2078	1.4304	1.3843
ENSG00000003509.16	NDUFAF7	protein_coding	365	184	221	20.1129	6.8374	6.6167
ENSG00000003756.17	RBM5	protein_coding	688	387	528	13.3644	4.5432	4.3966
ENSG00000003987.14	MTMR7	protein_coding	15	31	36	0.4356	0.1481	0.1433
ENSG00000003989.18	SLC7A2	protein_coding	13	8	5	0.3309	0.1125	0.1088
ENSG00000004059.11	ARF5	protein_coding	1938	898	1050	213.6409	72.6271	70.2837
ENSG00000004139.14	SARM1	protein_coding	80	234	235	1.4493	0.4927	0.4768
ENSG00000004142.12	POLDIP2	protein_coding	2502	1289	1363	188.5253	64.0890	62.0211
ENSG00000004399.13	PLXND1	protein_coding	627	245	382	13.1990	4.4870	4.3422
ENSG00000004455.17	AK2	protein_coding	2777	1247	1535	58.0455	19.7325	19.0958
ENSG00000004468.13	CD38	protein_coding	54	21	33	1.5844	0.5386	0.5212
ENSG00000004478.8	FKBP4	protein_coding	5125	2706	3278	199.7033	67.8890	65.6985
ENSG00000004487.17	KDM1A	protein_coding	2359	1059	1300	87.2414	29.6576	28.7007
ENSG00000004534.15	RBM6	protein_coding	626	317	309	17.2546	5.8657	5.6764
ENSG00000004660.15	CAMKK1	protein_coding	312	148	164	8.4447	2.8708	2.7781
ENSG00000004700.16	RECQL	protein_coding	249	230	268	13.2561	4.5064	4.3610
ENSG00000004766.17	VPS50	protein_coding	355	155	200	7.4715	2.5399	2.4580
ENSG00000004776.13	HSPB6	protein_coding	33	44	41	3.8510	1.3091	1.2669
ENSG00000004777.18	ARHGAP33	protein_coding	61	26	36	2.3331	0.7931	0.7676
ENSG00000004779.10	NDUFAB1	protein_coding	916	412	504	119.0469	40.4699	39.1641
ENSG00000004799.8	PDK4	protein_coding	146	57	89	6.4641	2.1975	2.1266
ENSG00000004809.14	SLC22A16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004838.14	ZMYND10	protein_coding	0	1	0	0.0000	0.0000	0.0000
ENSG00000004846.16	ABCB5	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004848.8	ARX	protein_coding	1	0	1	0.0646	0.0220	0.0213
ENSG00000004864.14	SLC25A13	protein_coding	733	290	443	39.7488	13.5126	13.0766
ENSG00000004866.22	ST7	protein_coding	222	129	116	6.8438	2.3266	2.2515
ENSG00000004897.12	CDC27	protein_coding	642	321	346	18.9273	6.4343	6.2267
ENSG00000004939.15	SLC4A1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004948.16	CALCR	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004961.15	HCCS	protein_coding	909	417	492	78.0522	26.5338	25.6776
ENSG00000004975.12	DVL2	protein_coding	347	158	189	13.1199	4.4601	4.3162
ENSG00000005001.10	PRSS22	protein_coding	492	228	265	41.5195	14.1145	13.6591
ENSG00000005007.13	UPF1	protein_coding	1931	902	1029	45.3151	15.4048	14.9078
ENSG00000005020.13	SKAP2	protein_coding	1242	550	692	46.6090	15.8447	15.3334
ENSG00000005022.6	SLC25A5	protein_coding	12390	6056	7158	1603.0035	544.9399	527.3567
ENSG00000005059.16	MCUB	protein_coding	151	81	81	8.5454	2.9050	2.8113
ENSG00000005073.6	HOXA11	protein_coding	144	121	137	10.8544	3.6900	3.5709
ENSG00000005075.15	POLR2J	protein_coding	481	209	287	71.4166	24.2780	23.4947
ENSG00000005100.13	DHX33	protein_coding	491	203	288	17.0636	5.8008	5.6136
ENSG00000005102.14	MEOX1	protein_coding	21	12	9	1.5800	0.5371	0.5198
ENSG00000005108.16	THSD7A	protein_coding	18	9	10	0.3316	0.1127	0.1091
ENSG00000005156.12	LIG3	protein_coding	387	339	348	6.0351	2.0516	1.9854
ENSG00000005175.10	RPAP3	protein_coding	355	174	181	13.3496	4.5382	4.3918
ENSG00000005187.12	ACSM3	protein_coding	64	78	69	1.7145	0.5828	0.5640
ENSG00000005189.20	REXO5	protein_coding	48	21	28	2.3490	0.7985	0.7728
ENSG00000005194.15	CIAPIN1	protein_coding	1103	481	622	65.5944	22.2988	21.5793
ENSG00000005206.17	SPPL2B	protein_coding	1028	455	573	27.8767	9.4767	9.1709
ENSG00000005238.20	FAM214B	protein_coding	439	204	235	13.8541	4.7097	4.5577
ENSG00000005243.10	COPZ2	protein_coding	136	53	83	14.6629	4.9847	4.8238
ENSG00000005249.13	PRKAR2B	protein_coding	122	49	73	5.7589	1.9577	1.8946
ENSG00000005302.19	MSL3	protein_coding	661	279	382	13.5974	4.6224	4.4733
ENSG00000005339.15	CREBBP	protein_coding	837	408	429	10.8787	3.6982	3.5789
ENSG00000005379.17	TSPOAP1	protein_coding	182	82	100	3.2150	1.0929	1.0577
ENSG00000005381.8	MPO	protein_coding	8	4	4	0.4563	0.1551	0.1501
ENSG00000005421.9	PON1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000005436.14	GCFC2	protein_coding	166	122	134	6.1143	2.0786	2.0115
ENSG00000005448.17	WDR54	protein_coding	157	79	78	11.0750	3.7649	3.6435
ENSG00000005469.12	CROT	protein_coding	167	71	96	6.7263	2.2866	2.2128
ENSG00000005471.19	ABCB4	protein_coding	50	19	31	1.3017	0.4425	0.4282
ENSG00000005483.21	KMT2E	protein_coding	1015	490	580	20.5249	6.9774	6.7523
ENSG00000005486.17	RHBDD2	protein_coding	1388	640	748	116.8383	39.7191	38.4375
ENSG00000005513.10	SOX8	protein_coding	19	8	11	0.8551	0.2907	0.2813
ENSG00000005700.15	IBTK	protein_coding	911	414	497	21.0206	7.1459	6.9154
