# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2485466	2485466	2485466			
N_multimapping			6033704	6033704	6033704			
N_noFeature			1957992	28284926	28269892			
N_ambiguous			5876541	1432963	1428212			
ENSG00000000003.15	TSPAN6	protein_coding	3195	1583	1613	46.9161	14.6992	14.7003
ENSG00000000005.6	TNMD	protein_coding	14	5	9	0.6318	0.1979	0.1980
ENSG00000000419.13	DPM1	protein_coding	2460	1289	1171	135.7538	42.5328	42.5360
ENSG00000000457.14	SCYL3	protein_coding	624	521	526	6.0385	1.8919	1.8921
ENSG00000000460.17	C1orf112	protein_coding	467	461	472	5.2103	1.6324	1.6326
ENSG00000000938.13	FGR	protein_coding	506	267	239	9.9655	3.1223	3.1225
ENSG00000000971.16	CFH	protein_coding	1425	689	736	11.8942	3.7266	3.7268
ENSG00000001036.14	FUCA2	protein_coding	2761	2214	2157	65.1679	20.4176	20.4192
ENSG00000001084.13	GCLC	protein_coding	2428	1451	1470	18.7658	5.8795	5.8799
ENSG00000001167.14	NFYA	protein_coding	1716	927	935	29.9918	9.3967	9.3974
ENSG00000001460.18	STPG1	protein_coding	468	267	269	3.6626	1.1475	1.1476
ENSG00000001461.17	NIPAL3	protein_coding	2661	1358	1372	18.8637	5.9101	5.9106
ENSG00000001497.18	LAS1L	protein_coding	3450	1739	1721	18.3032	5.7345	5.7350
ENSG00000001561.7	ENPP4	protein_coding	1499	745	754	21.4998	6.7361	6.7366
ENSG00000001617.12	SEMA3F	protein_coding	2702	1301	1406	37.2926	11.6841	11.6849
ENSG00000001626.16	CFTR	protein_coding	8872	4440	4454	59.4391	18.6228	18.6241
ENSG00000001629.10	ANKIB1	protein_coding	2682	1333	1365	24.1767	7.5748	7.5753
ENSG00000001630.17	CYP51A1	protein_coding	420	227	195	7.9272	2.4837	2.4839
ENSG00000001631.16	KRIT1	protein_coding	321	167	169	3.4463	1.0798	1.0798
ENSG00000002016.18	RAD52	protein_coding	456	227	233	6.7451	2.1133	2.1134
