# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			537809	537809	537809			
N_multimapping			3065938	3065938	3065938			
N_noFeature			1598602	13327835	13268490			
N_ambiguous			2075585	555163	510353			
ENSG00000000003.15	TSPAN6	protein_coding	7465	3657	3808	190.4649	76.8544	78.5513
ENSG00000000005.6	TNMD	protein_coding	15	5	10	1.1762	0.4746	0.4851
ENSG00000000419.13	DPM1	protein_coding	1969	977	992	188.7977	76.1816	77.8637
ENSG00000000457.14	SCYL3	protein_coding	317	269	222	5.3302	2.1508	2.1983
ENSG00000000460.17	C1orf112	protein_coding	146	146	183	2.8303	1.1421	1.1673
ENSG00000000938.13	FGR	protein_coding	169	90	79	5.7832	2.3336	2.3851
ENSG00000000971.16	CFH	protein_coding	210	101	109	3.0456	1.2289	1.2561
ENSG00000001036.14	FUCA2	protein_coding	1924	1216	1230	78.9053	31.8390	32.5420
ENSG00000001084.13	GCLC	protein_coding	958	516	566	12.8652	5.1912	5.3059
ENSG00000001167.14	NFYA	protein_coding	638	325	344	19.3749	7.8180	7.9906
ENSG00000001460.18	STPG1	protein_coding	112	68	56	1.5230	0.6145	0.6281
ENSG00000001461.17	NIPAL3	protein_coding	809	421	400	9.9647	4.0208	4.1096
ENSG00000001497.18	LAS1L	protein_coding	2000	986	1020	18.4362	7.4392	7.6034
ENSG00000001561.7	ENPP4	protein_coding	506	231	275	12.6100	5.0883	5.2006
ENSG00000001617.12	SEMA3F	protein_coding	652	323	329	15.6357	6.3092	6.4485
ENSG00000001626.16	CFTR	protein_coding	4137	2074	2072	48.1582	19.4323	19.8613
ENSG00000001629.10	ANKIB1	protein_coding	1236	575	681	19.3594	7.8117	7.9842
ENSG00000001630.17	CYP51A1	protein_coding	153	99	55	5.0176	2.0247	2.0694
ENSG00000001631.16	KRIT1	protein_coding	226	113	133	4.2159	1.7012	1.7387
ENSG00000002016.18	RAD52	protein_coding	231	115	116	5.9370	2.3956	2.4485
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	9	8	1	0.1651	0.0666	0.0681
ENSG00000002330.14	BAD	protein_coding	515	518	528	34.8962	14.0809	14.3918
ENSG00000002549.12	LAP3	protein_coding	1649	817	832	50.4212	20.3454	20.7946
ENSG00000002586.20	CD99	protein_coding	2882	1432	1450	68.6586	27.7044	28.3161
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	224	113	111	3.4868	1.4070	1.4380
ENSG00000002726.21	AOC1	protein_coding	5001	2529	2472	152.8743	61.6862	63.0482
ENSG00000002745.13	WNT16	protein_coding	2	0	2	0.0709	0.0286	0.0292
ENSG00000002746.15	HECW1	protein_coding	14	9	5	0.1163	0.0469	0.0480
ENSG00000002822.15	MAD1L1	protein_coding	6	4	2	0.0960	0.0388	0.0396
ENSG00000002834.18	LASP1	protein_coding	7727	4651	4657	126.6493	51.1042	52.2326
ENSG00000002919.15	SNX11	protein_coding	628	322	306	17.5854	7.0959	7.2526
ENSG00000002933.9	TMEM176A	protein_coding	10669	5281	5453	355.1217	143.2949	146.4589
ENSG00000003056.8	M6PR	protein_coding	1058	647	603	34.1550	13.7819	14.0862
ENSG00000003096.14	KLHL13	protein_coding	62	26	36	1.0276	0.4146	0.4238
ENSG00000003137.8	CYP26B1	protein_coding	59	25	34	1.3616	0.5494	0.5615
ENSG00000003147.19	ICA1	protein_coding	2019	1051	1178	47.8528	19.3091	19.7354
ENSG00000003249.15	DBNDD1	protein_coding	307	147	166	7.9628	3.2131	3.2840
ENSG00000003393.15	ALS2	protein_coding	474	228	246	5.2556	2.1207	2.1675
ENSG00000003400.15	CASP10	protein_coding	741	364	377	11.3123	4.5646	4.6654
ENSG00000003402.20	CFLAR	protein_coding	2073	1115	1150	10.6729	4.3066	4.4017
ENSG00000003436.16	TFPI	protein_coding	182	103	82	1.7981	0.7256	0.7416
ENSG00000003509.16	NDUFAF7	protein_coding	415	224	252	13.1551	5.3082	5.4254
ENSG00000003756.17	RBM5	protein_coding	1033	678	727	11.5432	4.6578	4.7606
ENSG00000003987.14	MTMR7	protein_coding	13	27	29	0.2172	0.0876	0.0896
ENSG00000003989.18	SLC7A2	protein_coding	48	23	25	0.7027	0.2836	0.2898
ENSG00000004059.11	ARF5	protein_coding	3868	2149	1766	245.2911	98.9773	101.1627
ENSG00000004139.14	SARM1	protein_coding	132	396	379	1.3757	0.5551	0.5674
