# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			2350832	2350832	2350832			
N_multimapping			6276126	6276126	6276126			
N_noFeature			4286886	37090101	37151602			
N_ambiguous			6684330	1637836	1627416			
ENSG00000000003.15	TSPAN6	protein_coding	2933	1433	1500	35.9478	10.6253	10.0988
ENSG00000000005.6	TNMD	protein_coding	14	7	7	0.5273	0.1559	0.1481
ENSG00000000419.13	DPM1	protein_coding	1990	995	995	91.6598	27.0925	25.7500
ENSG00000000457.14	SCYL3	protein_coding	1293	1007	1005	10.4437	3.0869	2.9339
ENSG00000000460.17	C1orf112	protein_coding	804	780	789	7.4871	2.2130	2.1034
ENSG00000000938.13	FGR	protein_coding	543	270	274	8.9261	2.6383	2.5076
ENSG00000000971.16	CFH	protein_coding	2780	1393	1387	19.3676	5.7246	5.4409
ENSG00000001036.14	FUCA2	protein_coding	3541	3022	2900	69.7593	20.6192	19.5975
ENSG00000001084.13	GCLC	protein_coding	2864	1738	1705	18.4756	5.4610	5.1904
ENSG00000001167.14	NFYA	protein_coding	1892	1056	1034	27.6004	8.1580	7.7538
ENSG00000001460.18	STPG1	protein_coding	1003	579	559	6.5517	1.9365	1.8406
ENSG00000001461.17	NIPAL3	protein_coding	5199	2668	2667	30.7617	9.0924	8.6419
ENSG00000001497.18	LAS1L	protein_coding	2696	1305	1405	11.9381	3.5286	3.3538
ENSG00000001561.7	ENPP4	protein_coding	1702	841	861	20.3751	6.0224	5.7240
ENSG00000001617.12	SEMA3F	protein_coding	4432	2230	2211	51.0559	15.0909	14.3431
ENSG00000001626.16	CFTR	protein_coding	4892	2471	2422	27.3556	8.0857	7.6850
ENSG00000001629.10	ANKIB1	protein_coding	3830	1938	1923	28.8168	8.5176	8.0955
ENSG00000001630.17	CYP51A1	protein_coding	559	303	262	8.8063	2.6029	2.4740
ENSG00000001631.16	KRIT1	protein_coding	345	197	174	3.0916	0.9138	0.8685
ENSG00000002016.18	RAD52	protein_coding	714	352	363	8.8151	2.6056	2.4764
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	29	18	16	0.2556	0.0756	0.0718
ENSG00000002330.14	BAD	protein_coding	561	1323	1368	18.2603	5.3973	5.1299
ENSG00000002549.12	LAP3	protein_coding	7624	3739	3889	111.9825	33.0994	31.4592
ENSG00000002586.20	CD99	protein_coding	7689	3547	4142	87.9925	26.0085	24.7197
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	1001	509	504	7.4849	2.2124	2.1027
ENSG00000002726.21	AOC1	protein_coding	24725	12366	12362	363.0688	107.3147	101.9969
ENSG00000002745.13	WNT16	protein_coding	7	5	2	0.1192	0.0352	0.0335
ENSG00000002746.15	HECW1	protein_coding	80	57	30	0.3192	0.0943	0.0897
ENSG00000002822.15	MAD1L1	protein_coding	82	41	41	0.6305	0.1864	0.1771
ENSG00000002834.18	LASP1	protein_coding	20882	12789	12668	164.4141	48.5970	46.1888
