# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1662081	1662081	1662081			
N_multimapping			6241444	6241444	6241444			
N_noFeature			1677940	20181117	20234487			
N_ambiguous			4241838	1015441	1009642			
ENSG00000000003.15	TSPAN6	protein_coding	5295	2632	2664	99.1543	34.1269	35.5828
ENSG00000000005.6	TNMD	protein_coding	75	39	36	4.3161	1.4855	1.5489
ENSG00000000419.13	DPM1	protein_coding	1163	570	593	81.8448	28.1693	29.3710
ENSG00000000457.14	SCYL3	protein_coding	497	495	464	6.1333	2.1110	2.2010
ENSG00000000460.17	C1orf112	protein_coding	238	332	383	3.3863	1.1655	1.2152
ENSG00000000938.13	FGR	protein_coding	76	39	37	1.9088	0.6570	0.6850
ENSG00000000971.16	CFH	protein_coding	101	51	50	1.0751	0.3700	0.3858
ENSG00000001036.14	FUCA2	protein_coding	1856	1270	1309	55.8650	19.2276	20.0478
ENSG00000001084.13	GCLC	protein_coding	1683	936	977	16.5881	5.7093	5.9528
ENSG00000001167.14	NFYA	protein_coding	1376	776	686	30.6689	10.5556	11.0059
ENSG00000001460.18	STPG1	protein_coding	403	192	224	4.0220	1.3843	1.4433
ENSG00000001461.17	NIPAL3	protein_coding	1133	591	555	10.2425	3.5253	3.6756
ENSG00000001497.18	LAS1L	protein_coding	1433	684	756	9.6950	3.3368	3.4792
ENSG00000001561.7	ENPP4	protein_coding	854	429	425	15.6201	5.3761	5.6055
ENSG00000001617.12	SEMA3F	protein_coding	593	304	290	10.4372	3.5923	3.7455
ENSG00000001626.16	CFTR	protein_coding	2220	1196	1042	18.9670	6.5280	6.8065
ENSG00000001629.10	ANKIB1	protein_coding	2651	1335	1327	30.4749	10.4888	10.9363
ENSG00000001630.17	CYP51A1	protein_coding	81	45	40	1.9496	0.6710	0.6996
ENSG00000001631.16	KRIT1	protein_coding	412	225	195	5.6408	1.9415	2.0243
ENSG00000002016.18	RAD52	protein_coding	475	224	255	8.9600	3.0839	3.2154
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	14	10	11	0.1885	0.0649	0.0677
ENSG00000002330.14	BAD	protein_coding	337	714	715	16.7595	5.7683	6.0144
ENSG00000002549.12	LAP3	protein_coding	1924	988	936	43.1775	14.8608	15.4948
ENSG00000002586.20	CD99	protein_coding	5597	2597	3000	97.8625	33.6823	35.1192
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	796	412	390	9.0939	3.1299	3.2635
ENSG00000002726.21	AOC1	protein_coding	5321	2612	2710	119.3799	41.0881	42.8410
ENSG00000002745.13	WNT16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002746.15	HECW1	protein_coding	13	8	7	0.0792	0.0273	0.0284
ENSG00000002822.15	MAD1L1	protein_coding	20	9	11	0.2350	0.0809	0.0843
ENSG00000002834.18	LASP1	protein_coding	11246	7292	7386	135.2852	46.5624	48.5488
ENSG00000002919.15	SNX11	protein_coding	730	357	374	15.0029	5.1637	5.3840
ENSG00000002933.9	TMEM176A	protein_coding	5257	2584	2691	128.4257	44.2015	46.0872
ENSG00000003056.8	M6PR	protein_coding	1360	1026	965	32.2232	11.0906	11.5637
