# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1259999	1259999	1259999			
N_multimapping			1022897	1022897	1022897			
N_noFeature			507948	3991000	3931242			
N_ambiguous			611268	157265	155253			
ENSG00000000003.15	TSPAN6	protein_coding	1592	779	813	154.6667	54.6995	49.9498
ENSG00000000005.6	TNMD	protein_coding	4	2	2	1.1943	0.4224	0.3857
ENSG00000000419.13	DPM1	protein_coding	607	310	297	221.6197	78.3780	71.5723
ENSG00000000457.14	SCYL3	protein_coding	91	81	85	5.8263	2.0605	1.8816
ENSG00000000460.17	C1orf112	protein_coding	73	70	79	5.3886	1.9057	1.7403
ENSG00000000938.13	FGR	protein_coding	18	10	8	2.3454	0.8295	0.7575
ENSG00000000971.16	CFH	protein_coding	106	48	58	5.8537	2.0702	1.8905
ENSG00000001036.14	FUCA2	protein_coding	431	250	291	67.3050	23.8031	21.7362
ENSG00000001084.13	GCLC	protein_coding	337	187	186	17.2326	6.0945	5.5653
ENSG00000001167.14	NFYA	protein_coding	217	109	129	25.0927	8.8743	8.1037
ENSG00000001460.18	STPG1	protein_coding	48	28	25	2.4853	0.8790	0.8026
ENSG00000001461.17	NIPAL3	protein_coding	190	89	106	8.9112	3.1515	2.8779
ENSG00000001497.18	LAS1L	protein_coding	511	256	255	17.9362	6.3433	5.7925
ENSG00000001561.7	ENPP4	protein_coding	103	58	45	9.7740	3.4567	3.1565
ENSG00000001617.12	SEMA3F	protein_coding	217	111	106	19.8152	7.0079	6.3994
ENSG00000001626.16	CFTR	protein_coding	1033	517	518	45.7882	16.1935	14.7873
ENSG00000001629.10	ANKIB1	protein_coding	399	211	199	23.7966	8.4159	7.6851
ENSG00000001630.17	CYP51A1	protein_coding	64	20	44	7.9920	2.8264	2.5810
ENSG00000001631.16	KRIT1	protein_coding	79	46	44	5.6115	1.9846	1.8123
ENSG00000002016.18	RAD52	protein_coding	111	54	57	10.8630	3.8418	3.5082
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	2	2	0	0.1397	0.0494	0.0451
ENSG00000002330.14	BAD	protein_coding	148	136	148	38.1857	13.5048	12.3321
ENSG00000002549.12	LAP3	protein_coding	367	177	190	42.7294	15.1117	13.7995
ENSG00000002586.20	CD99	protein_coding	2138	1030	1108	193.9443	68.5904	62.6345
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	80	43	37	4.7417	1.6770	1.5313
ENSG00000002726.21	AOC1	protein_coding	1705	863	842	198.4589	70.1870	64.0925
ENSG00000002745.13	WNT16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002746.15	HECW1	protein_coding	17	5	12	0.5376	0.1901	0.1736
ENSG00000002822.15	MAD1L1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002834.18	LASP1	protein_coding	1959	1184	1204	122.2630	43.2396	39.4850
ENSG00000002919.15	SNX11	protein_coding	99	51	48	10.5559	3.7332	3.4090
ENSG00000002933.9	TMEM176A	protein_coding	1952	1000	967	247.4013	87.4960	79.8985
ENSG00000003056.8	M6PR	protein_coding	399	276	225	49.0468	17.3459	15.8397
ENSG00000003096.14	KLHL13	protein_coding	2	1	1	0.1262	0.0446	0.0408
ENSG00000003137.8	CYP26B1	protein_coding	7	5	2	0.6151	0.2175	0.1987
ENSG00000003147.19	ICA1	protein_coding	658	349	364	59.3835	21.0016	19.1780
ENSG00000003249.15	DBNDD1	protein_coding	158	70	88	15.6047	5.5187	5.0395
ENSG00000003393.15	ALS2	protein_coding	102	49	53	4.3064	1.5230	1.3907
ENSG00000003400.15	CASP10	protein_coding	178	83	95	10.3471	3.6594	3.3416
ENSG00000003402.20	CFLAR	protein_coding	567	321	301	11.1156	3.9311	3.5898
ENSG00000003436.16	TFPI	protein_coding	49	20	30	1.8434	0.6519	0.5953
ENSG00000003509.16	NDUFAF7	protein_coding	80	45	50	9.6562	3.4150	3.1185
ENSG00000003756.17	RBM5	protein_coding	322	204	207	13.7009	4.8455	4.4247
ENSG00000003987.14	MTMR7	protein_coding	3	11	14	0.1908	0.0675	0.0616
ENSG00000003989.18	SLC7A2	protein_coding	14	6	8	0.7805	0.2760	0.2521
ENSG00000004059.11	ARF5	protein_coding	1033	524	518	249.4390	88.2166	80.5566
ENSG00000004139.14	SARM1	protein_coding	54	107	123	2.1429	0.7579	0.6921
ENSG00000004142.12	POLDIP2	protein_coding	711	398	378	117.3506	41.5022	37.8985
ENSG00000004399.13	PLXND1	protein_coding	267	140	127	12.3117	4.3541	3.9761
ENSG00000004455.17	AK2	protein_coding	664	355	310	30.4014	10.7518	9.8182
ENSG00000004468.13	CD38	protein_coding	13	7	6	0.8355	0.2955	0.2698
ENSG00000004478.8	FKBP4	protein_coding	1466	843	910	125.1292	44.2532	40.4106
ENSG00000004487.17	KDM1A	protein_coding	804	397	407	65.1304	23.0340	21.0339
ENSG00000004534.15	RBM6	protein_coding	710	360	350	42.8669	15.1603	13.8439
ENSG00000004660.15	CAMKK1	protein_coding	137	77	60	8.1224	2.8726	2.6231
ENSG00000004700.16	RECQL	protein_coding	107	102	94	12.4777	4.4129	4.0297
ENSG00000004766.17	VPS50	protein_coding	204	90	114	9.4047	3.3261	3.0373
ENSG00000004776.13	HSPB6	protein_coding	15	7	16	3.8343	1.3560	1.2383
ENSG00000004777.18	ARHGAP33	protein_coding	53	25	29	4.4403	1.5704	1.4340
ENSG00000004779.10	NDUFAB1	protein_coding	467	242	225	132.9453	47.0174	42.9348
ENSG00000004799.8	PDK4	protein_coding	248	125	123	24.0514	8.5060	7.7674
ENSG00000004809.14	SLC22A16	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004838.14	ZMYND10	protein_coding	5	5	0	0.7627	0.2697	0.2463
ENSG00000004846.16	ABCB5	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004848.8	ARX	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	273	132	141	32.4277	11.4684	10.4725
ENSG00000004866.22	ST7	protein_coding	134	92	66	9.0487	3.2002	2.9223
ENSG00000004897.12	CDC27	protein_coding	239	136	111	15.4343	5.4585	4.9845
ENSG00000004939.15	SLC4A1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004948.16	CALCR	protein_coding	1	1	0	0.1044	0.0369	0.0337
ENSG00000004961.15	HCCS	protein_coding	232	125	107	43.6358	15.4322	14.0922
ENSG00000004975.12	DVL2	protein_coding	168	91	77	13.9137	4.9207	4.4934
ENSG00000005001.10	PRSS22	protein_coding	106	56	51	19.5942	6.9297	6.3280
ENSG00000005007.13	UPF1	protein_coding	1477	736	741	75.9232	26.8510	24.5195
ENSG00000005020.13	SKAP2	protein_coding	178	93	85	14.6319	5.1747	4.7254
ENSG00000005022.6	SLC25A5	protein_coding	2840	1560	1553	804.8498	284.6433	259.9270
ENSG00000005059.16	MCUB	protein_coding	77	33	44	9.5450	3.3757	3.0826
ENSG00000005073.6	HOXA11	protein_coding	39	18	33	6.4394	2.2773	2.0796
ENSG00000005075.15	POLR2J	protein_coding	331	180	160	107.6504	38.0716	34.7658
ENSG00000005100.13	DHX33	protein_coding	266	132	134	20.2491	7.1613	6.5395
ENSG00000005102.14	MEOX1	protein_coding	21	11	10	3.4609	1.2240	1.1177
ENSG00000005108.16	THSD7A	protein_coding	5	3	2	0.2018	0.0714	0.0652
ENSG00000005156.12	LIG3	protein_coding	271	234	250	9.2571	3.2739	2.9896
ENSG00000005175.10	RPAP3	protein_coding	204	115	89	16.8036	5.9428	5.4268
ENSG00000005187.12	ACSM3	protein_coding	58	41	48	3.4034	1.2037	1.0991
ENSG00000005189.20	REXO5	protein_coding	18	11	7	1.9295	0.6824	0.6231
ENSG00000005194.15	CIAPIN1	protein_coding	296	136	161	38.5582	13.6365	12.4524
ENSG00000005206.17	SPPL2B	protein_coding	444	211	233	26.3733	9.3272	8.5173
ENSG00000005238.20	FAM214B	protein_coding	89	41	48	6.1523	2.1758	1.9869
ENSG00000005243.10	COPZ2	protein_coding	20	7	13	4.7233	1.6704	1.5254
ENSG00000005249.13	PRKAR2B	protein_coding	17	8	9	1.7578	0.6217	0.5677
ENSG00000005302.19	MSL3	protein_coding	264	127	137	11.8958	4.2071	3.8417
ENSG00000005339.15	CREBBP	protein_coding	724	346	378	20.6121	7.2897	6.6567
ENSG00000005379.17	TSPOAP1	protein_coding	1009	497	512	39.0420	13.8076	12.6087
ENSG00000005381.8	MPO	protein_coding	3	3	0	0.3748	0.1326	0.1211
ENSG00000005421.9	PON1	protein_coding	1	1	0	0.1659	0.0587	0.0536
ENSG00000005436.14	GCFC2	protein_coding	86	45	55	6.9386	2.4539	2.2408
ENSG00000005448.17	WDR54	protein_coding	66	40	26	10.1981	3.6067	3.2935
ENSG00000005469.12	CROT	protein_coding	136	66	70	11.9986	4.2434	3.8750
ENSG00000005471.19	ABCB4	protein_coding	4	3	1	0.2281	0.0807	0.0737
ENSG00000005483.21	KMT2E	protein_coding	810	395	452	35.8784	12.6887	11.5869
