# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			316632	316632	316632			
N_multimapping			3672628	3672628	3672628			
N_noFeature			1028447	14709697	14739173			
N_ambiguous			2559979	666301	613682			
ENSG00000000003.15	TSPAN6	protein_coding	6548	3313	3235	169.3567	56.6612	59.4058
ENSG00000000005.6	TNMD	protein_coding	102	60	42	8.1074	2.7125	2.8439
ENSG00000000419.13	DPM1	protein_coding	1169	581	588	113.6251	38.0152	39.8566
ENSG00000000457.14	SCYL3	protein_coding	327	273	266	5.5736	1.8647	1.9551
ENSG00000000460.17	C1orf112	protein_coding	292	265	246	5.7382	1.9198	2.0128
ENSG00000000938.13	FGR	protein_coding	68	28	40	2.3589	0.7892	0.8274
ENSG00000000971.16	CFH	protein_coding	222	93	129	3.2638	1.0919	1.1448
ENSG00000001036.14	FUCA2	protein_coding	1802	1182	1205	74.9143	25.0639	26.2779
ENSG00000001084.13	GCLC	protein_coding	1060	577	592	14.4300	4.8278	5.0617
ENSG00000001167.14	NFYA	protein_coding	902	458	481	27.7674	9.2900	9.7400
ENSG00000001460.18	STPG1	protein_coding	246	138	119	3.3910	1.1345	1.1895
ENSG00000001461.17	NIPAL3	protein_coding	838	397	452	10.4633	3.5007	3.6702
ENSG00000001497.18	LAS1L	protein_coding	2085	1020	1071	19.4830	6.5184	6.8341
ENSG00000001561.7	ENPP4	protein_coding	781	376	405	19.7299	6.6010	6.9207
ENSG00000001617.12	SEMA3F	protein_coding	774	369	405	18.8157	6.2951	6.6000
ENSG00000001626.16	CFTR	protein_coding	8987	4483	4512	106.0493	35.4806	37.1992
ENSG00000001629.10	ANKIB1	protein_coding	2004	1038	979	31.8184	10.6454	11.1611
ENSG00000001630.17	CYP51A1	protein_coding	280	211	76	9.3084	3.1143	3.2651
ENSG00000001631.16	KRIT1	protein_coding	269	142	140	5.0868	1.7019	1.7843
ENSG00000002016.18	RAD52	protein_coding	269	140	129	7.0084	2.3448	2.4583
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	19	9	10	0.3534	0.1182	0.1240
ENSG00000002330.14	BAD	protein_coding	570	585	638	39.1520	13.0990	13.7335
ENSG00000002549.12	LAP3	protein_coding	2437	1212	1225	75.5364	25.2720	26.4962
ENSG00000002586.20	CD99	protein_coding	6690	3255	3435	161.5606	54.0529	56.6711
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	316	159	157	4.9862	1.6682	1.7490
ENSG00000002726.21	AOC1	protein_coding	12163	6129	6034	376.9007	126.0986	132.2066
ENSG00000002745.13	WNT16	protein_coding	3	1	2	0.1078	0.0361	0.0378
ENSG00000002746.15	HECW1	protein_coding	11	6	6	0.0926	0.0310	0.0325
ENSG00000002822.15	MAD1L1	protein_coding	3	3	0	0.0487	0.0163	0.0171
ENSG00000002834.18	LASP1	protein_coding	6391	3851	3776	106.1865	35.5265	37.2474
ENSG00000002919.15	SNX11	protein_coding	659	308	351	18.7063	6.2585	6.5617
ENSG00000002933.9	TMEM176A	protein_coding	5642	2935	2761	190.3686	63.6911	66.7762
ENSG00000003056.8	M6PR	protein_coding	2601	1671	1485	85.1173	28.4775	29.8569
ENSG00000003096.14	KLHL13	protein_coding	49	24	25	0.8232	0.2754	0.2888
ENSG00000003137.8	CYP26B1	protein_coding	24	15	9	0.5614	0.1878	0.1969
ENSG00000003147.19	ICA1	protein_coding	1824	1010	1014	43.8233	14.6618	15.3720
ENSG00000003249.15	DBNDD1	protein_coding	458	248	210	12.0421	4.0289	4.2240
ENSG00000003393.15	ALS2	protein_coding	531	270	261	5.9682	1.9968	2.0935
ENSG00000003400.15	CASP10	protein_coding	445	211	234	6.8865	2.3040	2.4156
ENSG00000003402.20	CFLAR	protein_coding	1247	695	694	6.5081	2.1774	2.2829
ENSG00000003436.16	TFPI	protein_coding	146	76	75	1.4622	0.4892	0.5129
ENSG00000003509.16	NDUFAF7	protein_coding	336	222	198	10.7968	3.6122	3.7872
ENSG00000003756.17	RBM5	protein_coding	1033	642	707	11.7013	3.9149	4.1045
ENSG00000003987.14	MTMR7	protein_coding	11	93	93	0.1863	0.0623	0.0653
ENSG00000003989.18	SLC7A2	protein_coding	34	16	18	0.5046	0.1688	0.1770
ENSG00000004059.11	ARF5	protein_coding	5461	3079	2408	351.0558	117.4518	123.1409
ENSG00000004139.14	SARM1	protein_coding	83	297	299	0.8769	0.2934	0.3076
ENSG00000004142.12	POLDIP2	protein_coding	3447	1881	1820	151.4596	50.6734	53.1280
ENSG00000004399.13	PLXND1	protein_coding	649	343	306	7.9669	2.6655	2.7946
ENSG00000004455.17	AK2	protein_coding	3955	2016	1943	48.2073	16.1286	16.9098
ENSG00000004468.13	CD38	protein_coding	47	29	18	0.8041	0.2690	0.2821
ENSG00000004478.8	FKBP4	protein_coding	7309	4267	4393	166.0821	55.5656	58.2571
ENSG00000004487.17	KDM1A	protein_coding	3890	1948	1942	83.8914	28.0673	29.4269
ENSG00000004534.15	RBM6	protein_coding	1394	617	777	22.4061	7.4963	7.8595
ENSG00000004660.15	CAMKK1	protein_coding	310	152	158	4.8929	1.6370	1.7163
ENSG00000004700.16	RECQL	protein_coding	419	482	497	13.0078	4.3520	4.5628
ENSG00000004766.17	VPS50	protein_coding	1060	561	499	13.0095	4.3525	4.5634
ENSG00000004776.13	HSPB6	protein_coding	67	103	88	4.5594	1.5254	1.5993
ENSG00000004777.18	ARHGAP33	protein_coding	180	98	97	4.0147	1.3432	1.4083
ENSG00000004779.10	NDUFAB1	protein_coding	2195	1075	1120	166.3529	55.6562	58.3521
ENSG00000004799.8	PDK4	protein_coding	438	209	229	11.3084	3.7834	3.9667
ENSG00000004809.14	SLC22A16	protein_coding	3	1	2	0.0901	0.0301	0.0316
ENSG00000004838.14	ZMYND10	protein_coding	10	4	7	0.4061	0.1359	0.1424
ENSG00000004846.16	ABCB5	protein_coding	1	0	1	0.0127	0.0042	0.0044
ENSG00000004848.8	ARX	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004864.14	SLC25A13	protein_coding	1292	653	639	40.8560	13.6691	14.3312
ENSG00000004866.22	ST7	protein_coding	1137	637	670	20.4400	6.8385	7.1698
ENSG00000004897.12	CDC27	protein_coding	1209	632	593	20.7852	6.9540	7.2909
