# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			295421	295421	295421			
N_multimapping			3107488	3107488	3107488			
N_noFeature			538637	12293085	11591916			
N_ambiguous			3509702	1155428	1287206			
ENSG00000000003.15	TSPAN6	protein_coding	1832	929	903	63.4826	20.0479	26.2354
ENSG00000000005.6	TNMD	protein_coding	3	2	1	0.3195	0.1009	0.1320
ENSG00000000419.13	DPM1	protein_coding	239	113	126	31.1238	9.8289	12.8625
ENSG00000000457.14	SCYL3	protein_coding	130	85	90	2.9687	0.9375	1.2269
ENSG00000000460.17	C1orf112	protein_coding	155	108	97	4.0809	1.2888	1.6865
ENSG00000000938.13	FGR	protein_coding	191	102	89	8.8769	2.8033	3.6686
ENSG00000000971.16	CFH	protein_coding	299	135	164	5.8894	1.8599	2.4339
ENSG00000001036.14	FUCA2	protein_coding	802	483	528	44.6704	14.1070	18.4609
ENSG00000001084.13	GCLC	protein_coding	362	181	224	6.6024	2.0851	2.7286
ENSG00000001167.14	NFYA	protein_coding	705	357	404	29.0772	9.1826	12.0167
ENSG00000001460.18	STPG1	protein_coding	148	80	71	2.7333	0.8632	1.1296
ENSG00000001461.17	NIPAL3	protein_coding	809	404	408	13.5334	4.2739	5.5930
ENSG00000001497.18	LAS1L	protein_coding	1237	578	660	15.4866	4.8907	6.4001
ENSG00000001561.7	ENPP4	protein_coding	128	53	75	4.3323	1.3682	1.7904
ENSG00000001617.12	SEMA3F	protein_coding	3531	1755	1776	115.0039	36.3184	47.5276
ENSG00000001626.16	CFTR	protein_coding	600	298	302	9.4859	2.9957	3.9202
ENSG00000001629.10	ANKIB1	protein_coding	317	172	152	6.7434	2.1296	2.7868
ENSG00000001630.17	CYP51A1	protein_coding	622	312	311	27.7039	8.7489	11.4492
ENSG00000001631.16	KRIT1	protein_coding	33	21	19	0.8361	0.2640	0.3455
ENSG00000002016.18	RAD52	protein_coding	142	75	67	4.9567	1.5653	2.0484
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	3	1	2	0.0748	0.0236	0.0309
ENSG00000002330.14	BAD	protein_coding	188	291	324	17.3010	5.4637	7.1500
ENSG00000002549.12	LAP3	protein_coding	1349	613	736	56.0207	17.6914	23.1516
ENSG00000002586.20	CD99	protein_coding	3155	1460	1695	102.0808	32.2373	42.1869
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	603	281	322	12.7479	4.0258	5.2683
ENSG00000002726.21	AOC1	protein_coding	3377	1701	1676	140.2015	44.2758	57.9410
ENSG00000002745.13	WNT16	protein_coding	6	4	2	0.2889	0.0912	0.1194
ENSG00000002746.15	HECW1	protein_coding	38	19	20	0.4286	0.1354	0.1771
ENSG00000002822.15	MAD1L1	protein_coding	4	3	1	0.0870	0.0275	0.0359
ENSG00000002834.18	LASP1	protein_coding	7287	4069	4229	162.2127	51.2270	67.0375
ENSG00000002919.15	SNX11	protein_coding	388	214	174	14.7560	4.6600	6.0982
ENSG00000002933.9	TMEM176A	protein_coding	4403	2219	2220	199.0427	62.8579	82.2583
ENSG00000003056.8	M6PR	protein_coding	1707	833	923	74.8422	23.6353	30.9300
ENSG00000003096.14	KLHL13	protein_coding	22	9	13	0.4952	0.1564	0.2047
ENSG00000003137.8	CYP26B1	protein_coding	38	20	18	1.1910	0.3761	0.4922
ENSG00000003147.19	ICA1	protein_coding	323	166	205	10.3972	3.2835	4.2969
ENSG00000003249.15	DBNDD1	protein_coding	340	176	165	11.9771	3.7824	4.9498
ENSG00000003393.15	ALS2	protein_coding	112	55	57	1.6866	0.5326	0.6970
ENSG00000003400.15	CASP10	protein_coding	135	76	59	2.7990	0.8839	1.1568
ENSG00000003402.20	CFLAR	protein_coding	645	416	432	4.5101	1.4243	1.8639
ENSG00000003436.16	TFPI	protein_coding	117	65	55	1.5699	0.4958	0.6488
ENSG00000003509.16	NDUFAF7	protein_coding	99	65	73	4.2621	1.3460	1.7614
ENSG00000003756.17	RBM5	protein_coding	1001	742	762	15.1916	4.7975	6.2782
ENSG00000003987.14	MTMR7	protein_coding	3	3	8	0.0681	0.0215	0.0281
ENSG00000003989.18	SLC7A2	protein_coding	19	7	12	0.3778	0.1193	0.1561
ENSG00000004059.11	ARF5	protein_coding	6599	3248	3353	568.3522	179.4864	234.8826
ENSG00000004139.14	SARM1	protein_coding	295	610	569	4.1755	1.3186	1.7256
ENSG00000004142.12	POLDIP2	protein_coding	3732	1929	1846	219.7013	69.3820	90.7958
ENSG00000004399.13	PLXND1	protein_coding	2117	970	1147	34.8178	10.9955	14.3891
ENSG00000004455.17	AK2	protein_coding	2023	1007	1016	33.0368	10.4331	13.6531
ENSG00000004468.13	CD38	protein_coding	14	6	8	0.3209	0.1013	0.1326
