# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			475011	475011	475011			
N_multimapping			2986460	2986460	2986460			
N_noFeature			1050542	13729290	13619300			
N_ambiguous			2384934	630329	588298			
ENSG00000000003.15	TSPAN6	protein_coding	5870	2950	2920	164.8564	55.4513	53.9732
ENSG00000000005.6	TNMD	protein_coding	16	6	10	1.3809	0.4645	0.4521
ENSG00000000419.13	DPM1	protein_coding	1467	719	748	154.8330	52.0798	50.6916
ENSG00000000457.14	SCYL3	protein_coding	322	283	258	5.9596	2.0046	1.9512
ENSG00000000460.17	C1orf112	protein_coding	394	307	314	8.4074	2.8279	2.7526
ENSG00000000938.13	FGR	protein_coding	333	178	155	12.5433	4.2191	4.1066
ENSG00000000971.16	CFH	protein_coding	713	369	344	11.3822	3.8285	3.7265
ENSG00000001036.14	FUCA2	protein_coding	3630	2537	2514	163.8666	55.1184	53.6492
ENSG00000001084.13	GCLC	protein_coding	1464	832	836	21.6409	7.2792	7.0851
ENSG00000001167.14	NFYA	protein_coding	889	467	460	29.7169	9.9956	9.7292
ENSG00000001460.18	STPG1	protein_coding	239	124	128	3.5773	1.2033	1.1712
ENSG00000001461.17	NIPAL3	protein_coding	1286	664	635	17.4357	5.8647	5.7084
ENSG00000001497.18	LAS1L	protein_coding	1329	646	686	13.4849	4.5358	4.4149
ENSG00000001561.7	ENPP4	protein_coding	1237	603	634	33.9327	11.4136	11.1094
ENSG00000001617.12	SEMA3F	protein_coding	728	383	345	19.2170	6.4638	6.2915
ENSG00000001626.16	CFTR	protein_coding	4655	2349	2307	59.6467	20.0628	19.5281
ENSG00000001629.10	ANKIB1	protein_coding	1052	549	517	18.1372	6.1007	5.9380
ENSG00000001630.17	CYP51A1	protein_coding	171	120	51	6.1728	2.0763	2.0210
ENSG00000001631.16	KRIT1	protein_coding	123	63	74	2.5257	0.8495	0.8269
ENSG00000002016.18	RAD52	protein_coding	306	155	151	8.6569	2.9118	2.8342
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	0	0	0	0.0000	0.0000	0.0000
ENSG00000002330.14	BAD	protein_coding	481	494	505	35.8755	12.0671	11.7455
ENSG00000002549.12	LAP3	protein_coding	3093	1531	1562	104.1010	35.0155	34.0822
ENSG00000002586.20	CD99	protein_coding	4797	2344	2453	125.7920	42.3115	41.1837
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	347	164	183	5.9455	1.9998	1.9465
ENSG00000002726.21	AOC1	protein_coding	6381	3233	3148	214.7084	72.2196	70.2945
ENSG00000002745.13	WNT16	protein_coding	4	1	3	0.1561	0.0525	0.0511
ENSG00000002746.15	HECW1	protein_coding	75	35	45	0.6856	0.2306	0.2245
ENSG00000002822.15	MAD1L1	protein_coding	12	7	5	0.2114	0.0711	0.0692
ENSG00000002834.18	LASP1	protein_coding	8092	4710	4764	145.9925	49.1062	47.7973
ENSG00000002919.15	SNX11	protein_coding	680	330	350	20.9597	7.0500	6.8621
ENSG00000002933.9	TMEM176A	protein_coding	6795	3481	3361	248.9577	83.7397	81.5076
ENSG00000003056.8	M6PR	protein_coding	2236	1351	1317	79.4554	26.7257	26.0133
ENSG00000003096.14	KLHL13	protein_coding	164	82	82	2.9919	1.0063	0.9795
ENSG00000003137.8	CYP26B1	protein_coding	52	28	24	1.3209	0.4443	0.4325
ENSG00000003147.19	ICA1	protein_coding	612	314	345	15.9663	5.3705	5.2273
ENSG00000003249.15	DBNDD1	protein_coding	674	360	316	19.2429	6.4726	6.3000
ENSG00000003393.15	ALS2	protein_coding	389	199	190	4.7476	1.5969	1.5543
ENSG00000003400.15	CASP10	protein_coding	1540	759	781	25.8783	8.7044	8.4724
ENSG00000003402.20	CFLAR	protein_coding	1964	1065	1154	11.1303	3.7438	3.6440
ENSG00000003436.16	TFPI	protein_coding	335	176	171	3.6432	1.2254	1.1928
ENSG00000003509.16	NDUFAF7	protein_coding	361	225	232	12.5961	4.2368	4.1239
ENSG00000003756.17	RBM5	protein_coding	1243	791	868	15.2890	5.1426	5.0055
ENSG00000003987.14	MTMR7	protein_coding	9	23	29	0.1655	0.0557	0.0542
ENSG00000003989.18	SLC7A2	protein_coding	60	28	32	0.9669	0.3252	0.3166
ENSG00000004059.11	ARF5	protein_coding	3462	1974	1502	241.6601	81.2851	79.1184
ENSG00000004139.14	SARM1	protein_coding	212	564	552	2.4320	0.8180	0.7962
