# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			378211	378211	378211			
N_multimapping			2822736	2822736	2822736			
N_noFeature			917245	11545900	11454412			
N_ambiguous			1982294	498532	484046			
ENSG00000000003.15	TSPAN6	protein_coding	909	443	466	31.0572	10.2520	10.0201
ENSG00000000005.6	TNMD	protein_coding	1	0	1	0.1050	0.0347	0.0339
ENSG00000000419.13	DPM1	protein_coding	502	245	257	64.4567	21.2773	20.7959
ENSG00000000457.14	SCYL3	protein_coding	257	189	175	5.7866	1.9102	1.8670
ENSG00000000460.17	C1orf112	protein_coding	174	149	140	4.5170	1.4911	1.4573
ENSG00000000938.13	FGR	protein_coding	915	479	436	41.9294	13.8410	13.5279
ENSG00000000971.16	CFH	protein_coding	737	346	391	14.3132	4.7248	4.6179
ENSG00000001036.14	FUCA2	protein_coding	2328	1590	1556	127.8491	42.2032	41.2484
ENSG00000001084.13	GCLC	protein_coding	1157	661	650	20.8065	6.8682	6.7129
ENSG00000001167.14	NFYA	protein_coding	553	290	298	22.4884	7.4234	7.2555
ENSG00000001460.18	STPG1	protein_coding	294	173	132	5.3535	1.7672	1.7272
ENSG00000001461.17	NIPAL3	protein_coding	768	381	398	12.6675	4.1816	4.0870
ENSG00000001497.18	LAS1L	protein_coding	1495	760	736	18.4542	6.0918	5.9540
ENSG00000001561.7	ENPP4	protein_coding	468	236	232	15.6180	5.1555	5.0389
ENSG00000001617.12	SEMA3F	protein_coding	1194	631	564	38.3432	12.6572	12.3708
ENSG00000001626.16	CFTR	protein_coding	752	393	360	11.7224	3.8696	3.7820
ENSG00000001629.10	ANKIB1	protein_coding	665	332	346	13.9479	4.6042	4.5000
ENSG00000001630.17	CYP51A1	protein_coding	441	270	177	19.3668	6.3930	6.2484
ENSG00000001631.16	KRIT1	protein_coding	77	40	50	1.9235	0.6349	0.6206
ENSG00000002016.18	RAD52	protein_coding	204	100	104	7.0210	2.3176	2.2652
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	6	3	4	0.1474	0.0487	0.0476
ENSG00000002330.14	BAD	protein_coding	511	525	518	46.3665	15.3057	14.9594
ENSG00000002549.12	LAP3	protein_coding	1751	885	866	71.6955	23.6668	23.1314
ENSG00000002586.20	CD99	protein_coding	3959	1959	2000	126.2989	41.6915	40.7483
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	561	284	277	11.6937	3.8601	3.7728
ENSG00000002726.21	AOC1	protein_coding	3434	1724	1710	140.5695	46.4022	45.3525
ENSG00000002745.13	WNT16	protein_coding	4	3	1	0.1899	0.0627	0.0613
ENSG00000002746.15	HECW1	protein_coding	10	6	4	0.1112	0.0367	0.0359
ENSG00000002822.15	MAD1L1	protein_coding	13	4	9	0.2787	0.0920	0.0899
ENSG00000002834.18	LASP1	protein_coding	8792	5005	5030	192.9714	63.7002	62.2591
ENSG00000002919.15	SNX11	protein_coding	630	312	318	23.6236	7.7982	7.6218
ENSG00000002933.9	TMEM176A	protein_coding	1931	978	968	86.0695	28.4117	27.7689
ENSG00000003056.8	M6PR	protein_coding	1573	898	858	68.0003	22.4470	21.9392
ENSG00000003096.14	KLHL13	protein_coding	37	19	18	0.8212	0.2711	0.2649
ENSG00000003137.8	CYP26B1	protein_coding	102	49	53	3.1521	1.0405	1.0170
ENSG00000003147.19	ICA1	protein_coding	736	412	410	23.3595	7.7110	7.5365
ENSG00000003249.15	DBNDD1	protein_coding	99	53	47	3.4386	1.1351	1.1094
ENSG00000003393.15	ALS2	protein_coding	498	248	250	7.3941	2.4408	2.3856
ENSG00000003400.15	CASP10	protein_coding	1060	527	533	21.6696	7.1532	6.9913
ENSG00000003402.20	CFLAR	protein_coding	1894	1083	1076	13.0579	4.3104	4.2129
ENSG00000003436.16	TFPI	protein_coding	825	435	424	10.9149	3.6030	3.5215
ENSG00000003509.16	NDUFAF7	protein_coding	202	114	121	8.5745	2.8305	2.7664
ENSG00000003756.17	RBM5	protein_coding	950	623	637	14.2155	4.6925	4.5864
ENSG00000003987.14	MTMR7	protein_coding	16	26	39	0.3579	0.1181	0.1155
ENSG00000003989.18	SLC7A2	protein_coding	83	41	42	1.6272	0.5371	0.5250
ENSG00000004059.11	ARF5	protein_coding	3386	1766	1634	287.5383	94.9168	92.7695
ENSG00000004139.14	SARM1	protein_coding	81	209	195	1.1304	0.3732	0.3647
ENSG00000004142.12	POLDIP2	protein_coding	3849	2012	2038	223.4129	73.7489	72.0805
ENSG00000004399.13	PLXND1	protein_coding	2784	1391	1393	45.1460	14.9028	14.5656
ENSG00000004455.17	AK2	protein_coding	2774	1410	1369	44.6660	14.7443	14.4108
ENSG00000004468.13	CD38	protein_coding	209	106	103	4.7237	1.5593	1.5240
ENSG00000004478.8	FKBP4	protein_coding	4604	2820	2788	138.1990	45.6197	44.5876
ENSG00000004487.17	KDM1A	protein_coding	2582	1290	1292	73.5578	24.2816	23.7322
ENSG00000004534.15	RBM6	protein_coding	784	392	392	16.6466	5.4951	5.3707
ENSG00000004660.15	CAMKK1	protein_coding	387	183	204	8.0690	2.6636	2.6033
ENSG00000004700.16	RECQL	protein_coding	266	219	231	10.9088	3.6010	3.5195
ENSG00000004766.17	VPS50	protein_coding	389	195	194	6.3068	2.0819	2.0348
ENSG00000004776.13	HSPB6	protein_coding	177	187	192	15.9114	5.2524	5.1335
ENSG00000004777.18	ARHGAP33	protein_coding	112	57	70	3.2999	1.0893	1.0647
ENSG00000004779.10	NDUFAB1	protein_coding	1909	929	980	191.1202	63.0891	61.6618
ENSG00000004799.8	PDK4	protein_coding	125	51	74	4.2633	1.4073	1.3755
ENSG00000004809.14	SLC22A16	protein_coding	2	0	2	0.0793	0.0262	0.0256
ENSG00000004838.14	ZMYND10	protein_coding	3	0	4	0.1609	0.0531	0.0519
ENSG00000004846.16	ABCB5	protein_coding	4	3	1	0.0670	0.0221	0.0216
ENSG00000004848.8	ARX	protein_coding	4	1	3	0.1991	0.0657	0.0642
ENSG00000004864.14	SLC25A13	protein_coding	658	336	322	27.4868	9.0734	8.8682
ENSG00000004866.22	ST7	protein_coding	430	238	240	10.2116	3.3709	3.2946
ENSG00000004897.12	CDC27	protein_coding	997	485	539	22.6427	7.4744	7.3053
ENSG00000004939.15	SLC4A1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004948.16	CALCR	protein_coding	1	1	0	0.0367	0.0121	0.0118
ENSG00000004961.15	HCCS	protein_coding	1411	669	742	93.3311	30.8087	30.1118
ENSG00000004975.12	DVL2	protein_coding	701	354	347	20.4172	6.7398	6.5873
ENSG00000005001.10	PRSS22	protein_coding	430	208	227	27.9533	9.2274	9.0187
ENSG00000005007.13	UPF1	protein_coding	3102	1575	1527	56.0765	18.5109	18.0922
ENSG00000005020.13	SKAP2	protein_coding	1509	757	752	43.6229	14.4000	14.0742
ENSG00000005022.6	SLC25A5	protein_coding	30006	17399	17424	2990.5376	987.1812	964.8483
ENSG00000005059.16	MCUB	protein_coding	509	270	241	22.1896	7.3248	7.1591
ENSG00000005073.6	HOXA11	protein_coding	143	91	117	8.3035	2.7410	2.6790
ENSG00000005075.15	POLR2J	protein_coding	598	270	332	68.3964	22.5778	22.0670
ENSG00000005100.13	DHX33	protein_coding	684	354	330	18.3115	6.0447	5.9079
ENSG00000005102.14	MEOX1	protein_coding	87	44	43	5.0423	1.6645	1.6268
ENSG00000005108.16	THSD7A	protein_coding	46	27	21	0.6528	0.2155	0.2106
ENSG00000005156.12	LIG3	protein_coding	579	457	444	6.9555	2.2960	2.2441
