# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1617410	1617410	1617410			
N_multimapping			5144239	5144239	5144239			
N_noFeature			2970165	29564970	30024517			
N_ambiguous			5513719	1348271	1327127			
ENSG00000000003.15	TSPAN6	protein_coding	7151	3560	3592	109.7024	31.5371	30.6274
ENSG00000000005.6	TNMD	protein_coding	28	18	10	1.3201	0.3795	0.3685
ENSG00000000419.13	DPM1	protein_coding	2474	1240	1235	142.6313	41.0035	39.8207
ENSG00000000457.14	SCYL3	protein_coding	685	555	539	6.9252	1.9909	1.9334
ENSG00000000460.17	C1orf112	protein_coding	509	470	470	5.9329	1.7056	1.6564
ENSG00000000938.13	FGR	protein_coding	468	229	239	9.6293	2.7682	2.6884
ENSG00000000971.16	CFH	protein_coding	1094	577	517	9.5397	2.7425	2.6634
ENSG00000001036.14	FUCA2	protein_coding	3563	2905	2897	87.8580	25.2573	24.5288
ENSG00000001084.13	GCLC	protein_coding	2547	1528	1456	20.5658	5.9122	5.7417
ENSG00000001167.14	NFYA	protein_coding	1654	951	867	30.2008	8.6821	8.4317
ENSG00000001460.18	STPG1	protein_coding	523	300	303	4.2761	1.2293	1.1938
ENSG00000001461.17	NIPAL3	protein_coding	2737	1434	1382	20.2700	5.8272	5.6591
ENSG00000001497.18	LAS1L	protein_coding	4442	2225	2224	24.6198	7.0777	6.8735
ENSG00000001561.7	ENPP4	protein_coding	1422	704	718	21.3074	6.1254	5.9487
ENSG00000001617.12	SEMA3F	protein_coding	1205	607	600	17.3749	4.9949	4.8508
ENSG00000001626.16	CFTR	protein_coding	20103	10200	9992	140.7050	40.4497	39.2829
ENSG00000001629.10	ANKIB1	protein_coding	4511	2281	2267	42.4824	12.2128	11.8605
ENSG00000001630.17	CYP51A1	protein_coding	540	286	256	10.6479	3.0610	2.9728
ENSG00000001631.16	KRIT1	protein_coding	387	214	205	4.3407	1.2479	1.2119
ENSG00000002016.18	RAD52	protein_coding	890	449	441	13.7534	3.9538	3.8398
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	31	15	18	0.3420	0.0983	0.0955
ENSG00000002330.14	BAD	protein_coding	325	640	627	13.2409	3.8065	3.6967
ENSG00000002549.12	LAP3	protein_coding	8165	4072	4094	150.1110	43.1537	41.9090
ENSG00000002586.20	CD99	protein_coding	9128	4252	4876	130.7496	37.5877	36.5035
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	718	385	334	6.7199	1.9318	1.8761
ENSG00000002726.21	AOC1	protein_coding	15610	7794	7816	286.9093	82.4803	80.1012
ENSG00000002745.13	WNT16	protein_coding	3	0	3	0.0640	0.0184	0.0179
ENSG00000002746.15	HECW1	protein_coding	65	31	38	0.3246	0.0933	0.0906
ENSG00000002822.15	MAD1L1	protein_coding	36	21	15	0.3465	0.0996	0.0967
ENSG00000002834.18	LASP1	protein_coding	19311	11584	11713	190.3097	54.7100	53.1319
ENSG00000002919.15	SNX11	protein_coding	1036	518	518	17.4428	5.0144	4.8698
ENSG00000002933.9	TMEM176A	protein_coding	11251	5732	5607	225.1691	64.7313	62.8642
ENSG00000003056.8	M6PR	protein_coding	5148	3157	3069	99.9244	28.7262	27.8976
ENSG00000003096.14	KLHL13	protein_coding	103	58	45	1.0264	0.2951	0.2866
ENSG00000003137.8	CYP26B1	protein_coding	216	115	101	2.9971	0.8616	0.8368
ENSG00000003147.19	ICA1	protein_coding	3279	1827	1793	46.7280	13.4333	13.0458
ENSG00000003249.15	DBNDD1	protein_coding	710	350	363	11.0726	3.1831	3.0913
ENSG00000003393.15	ALS2	protein_coding	1424	728	696	9.4933	2.7291	2.6504
ENSG00000003400.15	CASP10	protein_coding	2286	1173	1113	20.9832	6.0322	5.8582
ENSG00000003402.20	CFLAR	protein_coding	5032	2970	2903	15.5771	4.4781	4.3489
ENSG00000003436.16	TFPI	protein_coding	728	423	358	4.3246	1.2432	1.2074
ENSG00000003509.16	NDUFAF7	protein_coding	678	458	469	12.9223	3.7149	3.6077
ENSG00000003756.17	RBM5	protein_coding	3107	2154	2170	20.8752	6.0012	5.8281
ENSG00000003987.14	MTMR7	protein_coding	66	192	211	0.6629	0.1906	0.1851
ENSG00000003989.18	SLC7A2	protein_coding	683	326	357	6.0123	1.7284	1.6786
ENSG00000004059.11	ARF5	protein_coding	5814	2959	2941	221.6841	63.7295	61.8912
ENSG00000004139.14	SARM1	protein_coding	446	1159	1175	2.7947	0.8034	0.7802
ENSG00000004142.12	POLDIP2	protein_coding	7177	3912	3891	187.0484	53.7724	52.2214
ENSG00000004399.13	PLXND1	protein_coding	6510	3249	3261	47.4004	13.6266	13.2335
ENSG00000004455.17	AK2	protein_coding	8499	4288	4232	61.4454	17.6643	17.1547
ENSG00000004468.13	CD38	protein_coding	149	89	60	1.5121	0.4347	0.4222
ENSG00000004478.8	FKBP4	protein_coding	18202	11492	11947	245.3236	70.5253	68.4910
ENSG00000004487.17	KDM1A	protein_coding	7514	3807	3707	96.1158	27.6312	26.8342
ENSG00000004534.15	RBM6	protein_coding	5994	3041	2954	57.1447	16.4279	15.9540
ENSG00000004660.15	CAMKK1	protein_coding	920	458	462	8.6128	2.4760	2.4046
ENSG00000004700.16	RECQL	protein_coding	1116	1192	1202	20.5499	5.9077	5.7373
ENSG00000004766.17	VPS50	protein_coding	1824	965	860	13.2781	3.8172	3.7071
ENSG00000004776.13	HSPB6	protein_coding	54	90	115	2.1796	0.6266	0.6085
ENSG00000004777.18	ARHGAP33	protein_coding	318	165	191	4.2069	1.2094	1.1745
ENSG00000004779.10	NDUFAB1	protein_coding	3100	1553	1547	139.3520	40.0607	38.9052
ENSG00000004799.8	PDK4	protein_coding	715	359	356	10.9494	3.1477	3.0569
ENSG00000004809.14	SLC22A16	protein_coding	8	4	4	0.1425	0.0410	0.0398
ENSG00000004838.14	ZMYND10	protein_coding	7	6	6	0.1686	0.0485	0.0471
ENSG00000004846.16	ABCB5	protein_coding	2	1	1	0.0150	0.0043	0.0042
ENSG00000004848.8	ARX	protein_coding	23	11	13	0.5140	0.1478	0.1435
ENSG00000004864.14	SLC25A13	protein_coding	3839	2024	1815	72.0056	20.7001	20.1030
ENSG00000004866.22	ST7	protein_coding	1374	818	771	14.6508	4.2118	4.0903
ENSG00000004897.12	CDC27	protein_coding	3276	1697	1774	33.4062	9.6036	9.3266
ENSG00000004939.15	SLC4A1	protein_coding	1	1	0	0.0136	0.0039	0.0038
ENSG00000004948.16	CALCR	protein_coding	2	1	1	0.0330	0.0095	0.0092
ENSG00000004961.15	HCCS	protein_coding	2915	1450	1472	86.5742	24.8883	24.1704
ENSG00000004975.12	DVL2	protein_coding	1453	740	714	19.0018	5.4626	5.3050
ENSG00000005001.10	PRSS22	protein_coding	1037	557	527	30.2688	8.7016	8.4506
ENSG00000005007.13	UPF1	protein_coding	10283	5177	5109	83.4659	23.9947	23.3026
ENSG00000005020.13	SKAP2	protein_coding	3007	1479	1529	39.0310	11.2206	10.8969
ENSG00000005022.6	SLC25A5	protein_coding	45021	27452	27231	2014.6846	579.1791	562.4728
ENSG00000005059.16	MCUB	protein_coding	925	480	460	18.1061	5.2051	5.0550
ENSG00000005073.6	HOXA11	protein_coding	693	470	460	18.0679	5.1941	5.0443
ENSG00000005075.15	POLR2J	protein_coding	1943	1006	969	99.7828	28.6854	27.8580
ENSG00000005100.13	DHX33	protein_coding	2128	1075	1053	25.5794	7.3535	7.1414
ENSG00000005102.14	MEOX1	protein_coding	176	86	90	4.5801	1.3167	1.2787
ENSG00000005108.16	THSD7A	protein_coding	132	79	65	0.8411	0.2418	0.2348
ENSG00000005156.12	LIG3	protein_coding	2264	1741	1691	12.2117	3.5106	3.4093
ENSG00000005175.10	RPAP3	protein_coding	2259	1126	1133	29.3822	8.4468	8.2031
ENSG00000005187.12	ACSM3	protein_coding	548	504	531	5.0777	1.4597	1.4176
ENSG00000005189.20	REXO5	protein_coding	260	144	155	4.4010	1.2652	1.2287
ENSG00000005194.15	CIAPIN1	protein_coding	2326	1183	1143	47.8443	13.7542	13.3575
ENSG00000005206.17	SPPL2B	protein_coding	3368	1702	1666	31.5900	9.0814	8.8195
ENSG00000005238.20	FAM214B	protein_coding	1180	617	564	12.8802	3.7028	3.5960
ENSG00000005243.10	COPZ2	protein_coding	218	110	109	8.1296	2.3371	2.2697
ENSG00000005249.13	PRKAR2B	protein_coding	748	368	380	12.2127	3.5109	3.4096
ENSG00000005302.19	MSL3	protein_coding	2552	1307	1245	18.1578	5.2200	5.0694
ENSG00000005339.15	CREBBP	protein_coding	5861	2996	2866	26.3482	7.5746	7.3561
