# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1268498	1268498	1268498			
N_multimapping			5206508	5206508	5206508			
N_noFeature			2796818	29141560	29140572			
N_ambiguous			5444134	1357938	1359652			
ENSG00000000003.15	TSPAN6	protein_coding	5820	2911	2909	87.5972	26.1177	24.9822
ENSG00000000005.6	TNMD	protein_coding	45	24	21	2.0815	0.6206	0.5936
ENSG00000000419.13	DPM1	protein_coding	3462	1741	1721	195.8213	58.3854	55.8471
ENSG00000000457.14	SCYL3	protein_coding	884	803	735	8.7683	2.6143	2.5007
ENSG00000000460.17	C1orf112	protein_coding	1101	925	865	12.5908	3.7540	3.5908
ENSG00000000938.13	FGR	protein_coding	411	200	211	8.2968	2.4737	2.3662
ENSG00000000971.16	CFH	protein_coding	1328	671	657	11.3615	3.3875	3.2402
ENSG00000001036.14	FUCA2	protein_coding	2918	2392	2352	70.5941	21.0481	20.1330
ENSG00000001084.13	GCLC	protein_coding	2694	1564	1611	21.3418	6.3632	6.0866
ENSG00000001167.14	NFYA	protein_coding	1934	1070	1062	34.6464	10.3300	9.8809
ENSG00000001460.18	STPG1	protein_coding	881	503	479	7.0670	2.1071	2.0155
ENSG00000001461.17	NIPAL3	protein_coding	3742	1901	1942	27.1895	8.1067	7.7543
ENSG00000001497.18	LAS1L	protein_coding	4367	2184	2189	23.7469	7.0803	6.7725
ENSG00000001561.7	ENPP4	protein_coding	895	456	439	13.1574	3.9230	3.7524
ENSG00000001617.12	SEMA3F	protein_coding	3005	1447	1567	42.5106	12.6748	12.1238
ENSG00000001626.16	CFTR	protein_coding	22636	11508	11138	155.4412	46.3458	44.3310
ENSG00000001629.10	ANKIB1	protein_coding	3306	1696	1638	30.5462	9.1075	8.7116
ENSG00000001630.17	CYP51A1	protein_coding	383	194	191	7.4095	2.2092	2.1131
ENSG00000001631.16	KRIT1	protein_coding	304	163	168	3.3454	0.9974	0.9541
ENSG00000002016.18	RAD52	protein_coding	297	149	148	4.5029	1.3426	1.2842
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	19	7	14	0.2057	0.0613	0.0587
ENSG00000002330.14	BAD	protein_coding	324	601	605	12.9508	3.8614	3.6935
ENSG00000002549.12	LAP3	protein_coding	3198	1608	1590	57.6837	17.1987	16.4511
ENSG00000002586.20	CD99	protein_coding	15783	7516	8268	221.8055	66.1327	63.2577
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	221	100	122	2.0293	0.6051	0.5788
ENSG00000002726.21	AOC1	protein_coding	11680	5867	5814	210.6214	62.7981	60.0680
ENSG00000002745.13	WNT16	protein_coding	52	32	21	1.0877	0.3243	0.3102
ENSG00000002746.15	HECW1	protein_coding	43	21	24	0.2107	0.0628	0.0601
ENSG00000002822.15	MAD1L1	protein_coding	35	19	16	0.3305	0.0985	0.0943
ENSG00000002834.18	LASP1	protein_coding	18010	11067	10981	174.1356	51.9197	49.6625
ENSG00000002919.15	SNX11	protein_coding	1513	789	728	24.9927	7.4517	7.1278
ENSG00000002933.9	TMEM176A	protein_coding	10988	5537	5531	215.7517	64.3277	61.5312
ENSG00000003056.8	M6PR	protein_coding	2628	1571	1570	50.0468	14.9218	14.2731
ENSG00000003096.14	KLHL13	protein_coding	56	29	27	0.5475	0.1632	0.1561
ENSG00000003137.8	CYP26B1	protein_coding	70	33	37	0.9529	0.2841	0.2718
ENSG00000003147.19	ICA1	protein_coding	3045	1722	1689	42.5736	12.6936	12.1418
ENSG00000003249.15	DBNDD1	protein_coding	1314	657	664	20.1051	5.9945	5.7339
ENSG00000003393.15	ALS2	protein_coding	1174	616	558	7.6788	2.2895	2.1899
ENSG00000003400.15	CASP10	protein_coding	660	315	345	5.9437	1.7722	1.6951
ENSG00000003402.20	CFLAR	protein_coding	3526	2023	1999	10.7089	3.1929	3.0541
ENSG00000003436.16	TFPI	protein_coding	816	426	461	4.7558	1.4180	1.3563
ENSG00000003509.16	NDUFAF7	protein_coding	759	458	518	14.1929	4.2317	4.0477
ENSG00000003756.17	RBM5	protein_coding	2981	2144	2108	19.6503	5.8588	5.6041
ENSG00000003987.14	MTMR7	protein_coding	53	142	116	0.5223	0.1557	0.1490
ENSG00000003989.18	SLC7A2	protein_coding	128	72	56	1.1055	0.3296	0.3153
ENSG00000004059.11	ARF5	protein_coding	4510	2295	2279	168.7151	50.3035	48.1166
ENSG00000004139.14	SARM1	protein_coding	156	595	645	0.9591	0.2860	0.2735
ENSG00000004142.12	POLDIP2	protein_coding	9044	4649	4876	231.2541	68.9499	65.9524
ENSG00000004399.13	PLXND1	protein_coding	4418	2174	2244	31.5605	9.4100	9.0009
ENSG00000004455.17	AK2	protein_coding	9754	4975	4817	69.1866	20.6284	19.7316
ENSG00000004468.13	CD38	protein_coding	123	60	63	1.2246	0.3651	0.3493
ENSG00000004478.8	FKBP4	protein_coding	5049	3397	3411	66.7642	19.9062	19.0408
ENSG00000004487.17	KDM1A	protein_coding	9752	4900	4852	122.3869	36.4904	34.9041
ENSG00000004534.15	RBM6	protein_coding	4579	2250	2329	42.8299	12.7700	12.2149
ENSG00000004660.15	CAMKK1	protein_coding	698	347	351	6.4111	1.9115	1.8284
ENSG00000004700.16	RECQL	protein_coding	2673	2374	2392	48.2906	14.3981	13.7722
ENSG00000004766.17	VPS50	protein_coding	1186	588	598	8.4706	2.5256	2.4158
ENSG00000004776.13	HSPB6	protein_coding	49	131	136	1.9404	0.5786	0.5534
ENSG00000004777.18	ARHGAP33	protein_coding	333	179	186	4.3221	1.2887	1.2326
ENSG00000004779.10	NDUFAB1	protein_coding	4251	2123	2128	187.4823	55.8990	53.4689
