# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			1752218	1752218	1752218			
N_multimapping			6286340	6286340	6286340			
N_noFeature			2591166	31957053	31821316			
N_ambiguous			5950640	1511579	1521671			
ENSG00000000003.15	TSPAN6	protein_coding	20872	10496	10377	264.5420	86.5293	85.1970
ENSG00000000005.6	TNMD	protein_coding	111	55	56	4.3235	1.4142	1.3924
ENSG00000000419.13	DPM1	protein_coding	2663	1370	1293	126.8433	41.4893	40.8505
ENSG00000000457.14	SCYL3	protein_coding	1097	872	803	9.1629	2.9971	2.9510
ENSG00000000460.17	C1orf112	protein_coding	438	539	517	4.2180	1.3797	1.3584
ENSG00000000938.13	FGR	protein_coding	682	323	360	11.5935	3.7921	3.7337
ENSG00000000971.16	CFH	protein_coding	2430	1210	1220	17.5068	5.7263	5.6382
ENSG00000001036.14	FUCA2	protein_coding	4614	3777	3756	93.9992	30.7463	30.2729
ENSG00000001084.13	GCLC	protein_coding	2855	1633	1666	19.0460	6.2298	6.1338
ENSG00000001167.14	NFYA	protein_coding	2838	1603	1507	42.8131	14.0038	13.7882
ENSG00000001460.18	STPG1	protein_coding	718	394	397	4.8501	1.5864	1.5620
ENSG00000001461.17	NIPAL3	protein_coding	3099	1590	1582	18.9619	6.2023	6.1068
ENSG00000001497.18	LAS1L	protein_coding	4248	2106	2155	19.4523	6.3627	6.2647
ENSG00000001561.7	ENPP4	protein_coding	2678	1319	1359	33.1529	10.8440	10.6771
ENSG00000001617.12	SEMA3F	protein_coding	5823	2788	3039	69.3686	22.6899	22.3405
ENSG00000001626.16	CFTR	protein_coding	3189	1572	1630	18.4410	6.0319	5.9390
ENSG00000001629.10	ANKIB1	protein_coding	3968	1970	2019	30.8738	10.0985	9.9430
ENSG00000001630.17	CYP51A1	protein_coding	242	127	118	3.9425	1.2895	1.2697
ENSG00000001631.16	KRIT1	protein_coding	290	147	163	2.6874	0.8790	0.8655
ENSG00000002016.18	RAD52	protein_coding	290	145	145	3.7025	1.2111	1.1924
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	8	8	1	0.0729	0.0239	0.0235
ENSG00000002330.14	BAD	protein_coding	323	578	585	10.8722	3.5562	3.5015
ENSG00000002549.12	LAP3	protein_coding	5904	3051	2855	89.6776	29.3328	28.8811
ENSG00000002586.20	CD99	protein_coding	7695	3593	4102	91.0657	29.7868	29.3281
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000002587.10	HS3ST1	protein_coding	673	345	328	5.2040	1.7022	1.6760
ENSG00000002726.21	AOC1	protein_coding	5365	2663	2702	81.4691	26.6478	26.2375
ENSG00000002745.13	WNT16	protein_coding	1	1	0	0.0176	0.0058	0.0057
ENSG00000002746.15	HECW1	protein_coding	307	163	181	1.2666	0.4143	0.4079
ENSG00000002822.15	MAD1L1	protein_coding	20	12	8	0.1590	0.0520	0.0512
ENSG00000002834.18	LASP1	protein_coding	19259	11961	11927	156.8090	51.2908	50.5011
ENSG00000002919.15	SNX11	protein_coding	1049	526	524	14.5920	4.7729	4.6994
ENSG00000002933.9	TMEM176A	protein_coding	7154	3580	3610	118.2899	38.6916	38.0958
ENSG00000003056.8	M6PR	protein_coding	4813	2980	2757	77.1845	25.2464	24.8577
ENSG00000003096.14	KLHL13	protein_coding	51	26	25	0.4199	0.1373	0.1352
ENSG00000003137.8	CYP26B1	protein_coding	134	58	76	1.5362	0.5025	0.4947
ENSG00000003147.19	ICA1	protein_coding	2587	1447	1415	30.4588	9.9628	9.8094
ENSG00000003249.15	DBNDD1	protein_coding	1107	566	550	14.2634	4.6654	4.5936
ENSG00000003393.15	ALS2	protein_coding	972	469	504	5.3537	1.7511	1.7242
ENSG00000003400.15	CASP10	protein_coding	2573	1292	1281	19.5127	6.3824	6.2842
ENSG00000003402.20	CFLAR	protein_coding	6088	3480	3568	15.5705	5.0930	5.0145
ENSG00000003436.16	TFPI	protein_coding	857	455	484	4.2061	1.3758	1.3546
ENSG00000003509.16	NDUFAF7	protein_coding	798	604	576	12.5659	4.1102	4.0469
ENSG00000003756.17	RBM5	protein_coding	3633	2588	2617	20.1667	6.5964	6.4948
ENSG00000003987.14	MTMR7	protein_coding	91	199	208	0.7552	0.2470	0.2432
ENSG00000003989.18	SLC7A2	protein_coding	323	168	155	2.3491	0.7684	0.7565
ENSG00000004059.11	ARF5	protein_coding	4148	2081	2117	130.6711	42.7413	42.0832
ENSG00000004139.14	SARM1	protein_coding	458	1485	1489	2.3711	0.7756	0.7636
ENSG00000004142.12	POLDIP2	protein_coding	6271	3341	3425	135.0296	44.1670	43.4869
ENSG00000004399.13	PLXND1	protein_coding	5806	2878	2929	34.9268	11.4243	11.2484
ENSG00000004455.17	AK2	protein_coding	7387	3664	3750	44.1236	14.4324	14.2102
ENSG00000004468.13	CD38	protein_coding	551	297	254	4.6198	1.5111	1.4878
ENSG00000004478.8	FKBP4	protein_coding	8484	5502	5645	94.4718	30.9009	30.4251
ENSG00000004487.17	KDM1A	protein_coding	11042	5463	5579	116.6950	38.1699	37.5822
ENSG00000004534.15	RBM6	protein_coding	3711	1777	1934	29.2302	9.5609	9.4137
ENSG00000004660.15	CAMKK1	protein_coding	671	330	341	5.1899	1.6976	1.6714
ENSG00000004700.16	RECQL	protein_coding	1354	1299	1302	20.5990	6.7377	6.6340
ENSG00000004766.17	VPS50	protein_coding	1465	709	756	8.8111	2.8820	2.8376
ENSG00000004776.13	HSPB6	protein_coding	115	401	509	3.8350	1.2544	1.2351
ENSG00000004777.18	ARHGAP33	protein_coding	468	241	272	5.1152	1.6731	1.6474
ENSG00000004779.10	NDUFAB1	protein_coding	3154	1581	1573	117.1371	38.3145	37.7246
ENSG00000004799.8	PDK4	protein_coding	1296	614	682	16.3972	5.3634	5.2808
ENSG00000004809.14	SLC22A16	protein_coding	7	5	2	0.1030	0.0337	0.0332
ENSG00000004838.14	ZMYND10	protein_coding	5	4	4	0.0995	0.0325	0.0320
ENSG00000004846.16	ABCB5	protein_coding	12	7	5	0.0745	0.0244	0.0240
ENSG00000004848.8	ARX	protein_coding	4	1	3	0.0738	0.0242	0.0238
ENSG00000004864.14	SLC25A13	protein_coding	1692	859	833	26.2198	8.5763	8.4442
ENSG00000004866.22	ST7	protein_coding	747	440	420	6.5808	2.1525	2.1194
ENSG00000004897.12	CDC27	protein_coding	3221	1735	1684	27.1366	8.8761	8.7395
ENSG00000004939.15	SLC4A1	protein_coding	0	0	0	0.0000	0.0000	0.0000
ENSG00000004948.16	CALCR	protein_coding	3	2	1	0.0409	0.0134	0.0132
ENSG00000004961.15	HCCS	protein_coding	1610	841	769	39.5055	12.9219	12.7229
ENSG00000004975.12	DVL2	protein_coding	1441	739	703	15.5695	5.0926	5.0142
ENSG00000005001.10	PRSS22	protein_coding	730	383	372	17.6044	5.7582	5.6696
ENSG00000005007.13	UPF1	protein_coding	9171	4570	4601	61.5017	20.1167	19.8069
ENSG00000005020.13	SKAP2	protein_coding	4164	2080	2084	44.6548	14.6062	14.3813
ENSG00000005022.6	SLC25A5	protein_coding	25440	15314	15012	940.5682	307.6515	302.9145
ENSG00000005059.16	MCUB	protein_coding	990	527	516	16.0103	5.2368	5.1562
ENSG00000005073.6	HOXA11	protein_coding	647	452	484	13.9367	4.5586	4.4884
ENSG00000005075.15	POLR2J	protein_coding	1365	685	691	57.9158	18.9437	18.6521
ENSG00000005100.13	DHX33	protein_coding	1347	683	664	13.3773	4.3756	4.3082
ENSG00000005102.14	MEOX1	protein_coding	175	90	85	3.7625	1.2307	1.2117
ENSG00000005108.16	THSD7A	protein_coding	265	162	126	1.3950	0.4563	0.4493
ENSG00000005156.12	LIG3	protein_coding	1368	1247	1234	6.0963	1.9940	1.9633
ENSG00000005175.10	RPAP3	protein_coding	1839	900	939	19.7620	6.4640	6.3645
ENSG00000005187.12	ACSM3	protein_coding	1278	1045	998	9.7835	3.2001	3.1508
ENSG00000005189.20	REXO5	protein_coding	247	142	127	3.4542	1.1299	1.1125
ENSG00000005194.15	CIAPIN1	protein_coding	3304	1662	1642	56.1489	18.3658	18.0830
ENSG00000005206.17	SPPL2B	protein_coding	4555	2334	2222	35.2977	11.5456	11.3678
ENSG00000005238.20	FAM214B	protein_coding	1491	713	779	13.4462	4.3981	4.3304
ENSG00000005243.10	COPZ2	protein_coding	517	281	236	15.9288	5.2102	5.1299
ENSG00000005249.13	PRKAR2B	protein_coding	878	434	444	11.8436	3.8739	3.8143
ENSG00000005302.19	MSL3	protein_coding	1655	857	798	9.7289	3.1822	3.1332
ENSG00000005339.15	CREBBP	protein_coding	10444	5052	5393	38.7907	12.6881	12.4927
ENSG00000005379.17	TSPOAP1	protein_coding	8442	4080	4367	42.6151	13.9390	13.7244
ENSG00000005381.8	MPO	protein_coding	4	2	2	0.0652	0.0213	0.0210
ENSG00000005421.9	PON1	protein_coding	1	1	0	0.0216	0.0071	0.0070
ENSG00000005436.14	GCFC2	protein_coding	1338	1049	1014	14.0834	4.6066	4.5356
ENSG00000005448.17	WDR54	protein_coding	886	489	428	17.8603	5.8419	5.7520
ENSG00000005469.12	CROT	protein_coding	961	487	474	11.0609	3.6179	3.5622
ENSG00000005471.19	ABCB4	protein_coding	191	96	95	1.4209	0.4648	0.4576
ENSG00000005483.21	KMT2E	protein_coding	4308	2319	2345	24.8943	8.1427	8.0173
ENSG00000005486.17	RHBDD2	protein_coding	3469	1705	1764	83.4469	27.2947	26.8745
ENSG00000005513.10	SOX8	protein_coding	460	245	215	5.9164	1.9352	1.9054
ENSG00000005700.15	IBTK	protein_coding	4398	2229	2169	28.9996	9.4855	9.3395
ENSG00000005801.18	ZNF195	protein_coding	1776	874	902	8.7187	2.8518	2.8079
ENSG00000005810.18	MYCBP2	protein_coding	4449	2985	2808	15.9992	5.2332	5.1526
ENSG00000005812.11	FBXL3	protein_coding	2735	2537	2605	22.2215	7.2685	7.1565
ENSG00000005844.19	ITGAL	protein_coding	1437	853	948	8.3754	2.7395	2.6973
ENSG00000005882.12	PDK2	protein_coding	2025	1750	1835	21.2795	6.9603	6.8532
ENSG00000005884.18	ITGA3	protein_coding	6490	3111	3410	38.0657	12.4509	12.2592
ENSG00000005889.16	ZFX	protein_coding	1804	887	917	11.4767	3.7539	3.6961
ENSG00000005893.16	LAMP2	protein_coding	12636	6411	6225	77.2504	25.2679	24.8789
ENSG00000005961.19	ITGA2B	protein_coding	12	6	7	0.1211	0.0396	0.0390
ENSG00000005981.13	ASB4	protein_coding	19	10	9	0.2372	0.0776	0.0764
ENSG00000006007.12	GDE1	protein_coding	9432	5863	5836	123.5216	40.4028	39.7807
ENSG00000006015.18	REX1BD	protein_coding	855	410	445	14.5818	4.7696	4.6961
ENSG00000006016.11	CRLF1	protein_coding	15	105	87	0.2907	0.0951	0.0936
ENSG00000006025.12	OSBPL7	protein_coding	1191	584	608	10.4188	3.4079	3.3554
ENSG00000006042.12	TMEM98	protein_coding	3856	1933	1924	42.7390	13.9795	13.7643
ENSG00000006047.13	YBX2	protein_coding	190	87	104	2.3588	0.7715	0.7596
ENSG00000006059.4	KRT33A	protein_coding	0	0	0	0.0000	0.0000	0.0000
